chunk_id,document,page_number,text,processed_text
ug_p2_0,ug,2,"We AIM HIGHER The National University of Sciences and Since technological supremacy is the key to Technology (NUST) stands as a vibrant beacon of shaping the destiny of a nation, NUST fuels higher education in Pakistan. Despite its youth of the spirit of inquiry, enterprise, and just 30 years, this esteemed institution rightfully dynamism in all facets of research and boasts of its exceptional reputation as a center of professional education. The dividends of our excellence.. focused and sustained efforts are distinctly visible in the vibrant involvement of our NUST offers undergraduate & postgraduate students and faculty in a wide range of programmes in a wide range of fields including research projects, publications, patent filing, Engineering, IT, Biosciences, Business and joint research ventures. Tech ONE and Management, Economics, Environment, Applied National Science and Technology Park (NSTP) Sciences, Architecture, and Social Sciences. In the are some of the potent NUST initiatives to years ahead, we are hopeful to pursue with expand the base of research and renewed vigour and zeal our vision of expanding development towards building the national not only our academic programmes but also the economy. student intake across various NUST schools NUST is a place worth any aspiring",aim higher national university science since technological supremacy key technology nust stand vibrant beacon shaping destiny nation nust fuel higher education pakistan despite youth spirit inquiry enterprise year esteemed institution rightfully dynamism facet research boast exceptional reputation center professional education dividend excellence focused sustained effort distinctly visible vibrant involvement nust offer undergraduate postgraduate student faculty wide range programme wide range field including research project publication patent filing engineering bioscience business joint research venture tech one management economics environment applied national science technology park nstp science architecture social science potent nust initiative year ahead hopeful pursue expand base research renewed vigour zeal vision expanding development towards building national academic programme also economy student intake across various nust school nust place worth aspiring
ug_p2_1,ug,2,"student's without diluting our traditional standards of time, labour, and money to claim a place in excellence. the comity of those educated in the spirit of challenging times today and tomorrow. It is a great transforming experience to live, imbibe and treasure. Disclaimer This handbook is being issued for general information and guidance of the students. The University reserves the right to withdraw or make amendments in Academic Regulations and other rules/policies/instructions as and when deemed necessary. Important Students are required to read all the instructions given in this handbook and deposit the Undertaking given at the end of this handbook (Annex E), duly completed, as guided by the respective institution.",student without diluting traditional standard time labour money claim place excellence comity educated spirit challenging time today tomorrow great transforming experience live imbibe treasure disclaimer handbook issued general information guidance student university reserve right withdraw make amendment academic regulation rulespoliciesinstructions deemed necessary important student required read instruction given handbook deposit undertaking given end handbook annex e duly completed guided respective institution
ug_p3_2,ug,3,"Contents Chapter 1: The University .......................................................................................................... 1 Chapter 2: Scheme of Studies, Examinations, and Academic Standards for the Award of Degrees .................................................................................................................................... 10 Chapter 3: Award of Bachelor Degree and Academic Deficiencies (Applicable to all programmes except those specified separately) ..................................................................... 19 Chapter 4: Award of Bachelor of Industrial Design & Architecture Degrees and Academic Deficiencies .............................................................................................................................. 24 Chapter 5: Award of Bachelors' Degree in Management/Social Sciences and Academic Deficiencies .............................................................................................................................. 40 Chapter 6: Academic Provisions & Flexibilities ....................................................................... 49 Chapter 7: Issuance of Bachelor Degrees & Transcripts and Award of Medals & Prizes ........ 67 Chapter 8: Clubs & Societies .................................................................................................... 70 Chapter 9: Services for International Students ....................................................................... 73 Chapter 10: NUST Social Media Accounts & IT Services ......................................................... 75 Chapter 11: NUST Code of Conduct ........................................................................................ 77 Chapter 12: Living on Campus ................................................................................................. 91 Re-Checking of Papers ........................................................................................................... 102 Fee Structure .......................................................................................................................... 104 Hostel Allotment Policy .......................................................................................................... 107 NUST Hostel Rules Awareness Certificate ............................................................................. 110 UNDERTAKING (By the Student & Parent/Guardian) ............................................................ 111 UNDERTAKING Drug and Tobacco Awareness Certificate (By the Student & Parent/Guardian) ................................................................................................................................................ 112 UNDERTAKING Drug and Tobacco Awareness Certificate (By the Faculty & Staff) .............. 113 NUST Undergraduate Student Handbook i",content chapter university chapter scheme study examination academic standard award degree chapter award bachelor degree academic deficiency applicable programme except specified separately chapter award bachelor industrial design architecture degree academic deficiency chapter award bachelor degree managementsocial science academic deficiency chapter academic provision flexibility chapter issuance bachelor degree transcript award medal prize chapter club society chapter service international student chapter nust social medium account service chapter nust code conduct chapter living campus rechecking paper fee structure hostel allotment policy nust hostel rule awareness certificate undertaking student parentguardian undertaking drug tobacco awareness certificate student parentguardian undertaking drug tobacco awareness certificate faculty staff nust undergraduate student handbook
ug_p5_3,ug,5,"Chapter 1: The University 1. NUST at a Glance. Welcome to the National University of Sciences and Technology (NUST), a premier national institution committed to imparting high-quality undergraduate and postgraduate education in various engineering disciplines, management, social, applied biosciences, architecture, information technology, and basic sciences. You represent a distinguished group of students selected strictly on merit to join this comprehensive University comprising 21 constituent colleges/schools/centres. Currently, NUST offers degree education in as many as 39 UG, 73 MS, and 47 Ph.D. programmes in various NUST institutions. 2. Constituent Institutions. Listed below are the constituent NUST institutions: a. Military College of Engineering (MCE), Risalpur b. Military College of Signals (MCS), Rawalpindi c. College of Electrical and Mechanical Engineering (C of E&ME), Rawalpindi d. Pakistan Navy Engineering College (PNEC), Karachi e. College of Aeronautical Engineering (CAE), Risalpur f. School of Electrical Engineering & Computer Science (SEECS), Islamabad g. NUST Business School (NBS), Islamabad h. School of Social Sciences & Humanities (S3H), Islamabad i. School of Chemical & Materials Engineering (SCME), Islamabad j. School of Civil & Environmental Engineering (SCEE), Islamabad k. School of Mechanical & Manufacturing Engineering (SMME), Islamabad l. School of Natural Sciences (SNS), Islamabad m. Atta Ur Rahman School of",chapter university nust glance welcome national university science technology nust premier national institution committed imparting highquality undergraduate postgraduate education various engineering discipline management social applied bioscience architecture information technology basic science represent distinguished group student selected strictly merit join comprehensive university comprising constituent collegesschoolscentres currently nust offer degree education many ug m phd programme various nust institution constituent institution listed constituent nust institution military college engineering mce risalpur b military college signal mc rawalpindi c college electrical mechanical engineering c eme rawalpindi pakistan navy engineering college pnec karachi e college aeronautical engineering cae risalpur f school electrical engineering computer science seecs islamabad g nust business school nb islamabad h school social science humanity islamabad school chemical material engineering scme islamabad j school civil environmental engineering scee islamabad k school mechanical manufacturing engineering smme islamabad l school natural science sn islamabad atta ur rahman school
ug_p5_4,ug,5,"Applied Biosciences (ASAB), Islamabad n. School of Art, Design & Architecture (SADA), Islamabad o. NUST Institute of Peace & Conflict Studies (NIPCONS), Rawalpindi p. US Pak Centre for Advanced Studies in Energy (USPCAS-E), Islamabad q. NUST Balochistan Campus (NBC), Quetta r. National Institute of Transportation (NIT), Risalpur s. School of Inter-Disciplinary Engineering and Sciences (SINES), Islamabad t. NUST School of Health Sciences (NSHS), Islamabad u. NUST Law School (NLS), Islamabad NUST Undergraduate Student Handbook 1",applied bioscience asab islamabad n school art design architecture sada islamabad nust institute peace conflict study nipcons rawalpindi p u pak centre advanced study energy uspcase islamabad q nust balochistan campus nbc quetta r national institute transportation nit risalpur school interdisciplinary engineering science sine islamabad nust school health science nshs islamabad u nust law school nls islamabad nust undergraduate student handbook
ug_p6_5,ug,6,"3. Vision. NUST aspires to be a comprehensive university providing a higher education experience grounded in thought leadership, co-creation of knowledge, and sustainability. 4. Mission. We are committed to being a university that stimulates intellectual curiosity, behavioral progression, and environmental stewardship. We nurture future leaders, job creators, and lifelong learners, with the ability to foster partnerships, and intercultural competence to impact their communities and beyond. Through adherence to our core values, we create an ecosystem that promotes research, innovation, and productivity: 5. Values: a. Integrity. NUST provides a fair and transparent work environment and encourages its stakeholders to act ethically and honestly in the interest of the wider community. b. Pursuit of Excellence. Excellence is a recursive attribute inculcated in the NUST culture. We strive to achieve excellence in academics, research, and innovation to build a national and global knowledge economy. c. Inspiring Partnerships. NUST promotes sharing of inspirational and research- driven content that drives change. Our leadership, faculty and students co- create knowledge that is of relevance and value for our communities. d. Diversity, Equity, and Inclusion. NUST community embraces and respects human and social diversity and encourages their absorption by developing an inclusive work environment to provide equal",vision nust aspires comprehensive university providing higher education experience grounded thought leadership cocreation knowledge sustainability mission committed university stimulates intellectual curiosity behavioral progression environmental stewardship nurture future leader job creator lifelong learner ability foster partnership intercultural competence impact community beyond adherence core value create ecosystem promotes research innovation productivity value integrity nust provides fair transparent work environment encourages stakeholder act ethically honestly interest wider community b pursuit excellence excellence recursive attribute inculcated nust culture strive achieve excellence academic research innovation build national global knowledge economy c inspiring partnership nust promotes sharing inspirational research driven content drive change leadership faculty student co create knowledge relevance value community diversity equity inclusion nust community embrace respect human social diversity encourages absorption developing inclusive work environment provide equal
ug_p6_6,ug,6,"opportunities for all. e. Sustainability. NUST nurtures its community with responsible resource planning and management. Our academic, research, and social endeavors actively tackle social, economic, and environmental challenges. 6. Strategic Thrusts: a. Excellence in Teaching and Education. Provide high-quality education in science and technology within the reach of all segments of society. b. Focus on Research. Undertake high-quality relevant research to support the needs of the emerging knowledge-based economy and society. c. Spirit of Enterprise. Develop instruments and mechanisms to cultivate in NUST graduates the spirit of enterprise and entrepreneurial culture and build strong linkages with industry. d. Internationalization and Global Vision. Establish strong international linkages to ensure the inflow of new knowledge and state-of-the-art technologies, and build, as a corollary, positive international image of our University and the country. 2 NUST Undergraduate Student Handbook",opportunity e sustainability nust nurture community responsible resource planning management academic research social endeavor actively tackle social economic environmental challenge strategic thrust excellence teaching education provide highquality education science technology within reach segment society b focus research undertake highquality relevant research support need emerging knowledgebased economy society c spirit enterprise develop instrument mechanism cultivate nust graduate spirit enterprise entrepreneurial culture build strong linkage industry internationalization global vision establish strong international linkage ensure inflow new knowledge stateoftheart technology build corollary positive international image university country nust undergraduate student handbook
ug_p7_7,ug,7,"e. Positive Social Impact. Formulate curricula and programmes to suit a wider cross-section of the population in terms of education and absorption of new technologies. 7. Why Study at NUST? NUST symbolizes quality and excellence. Its spirited faculty, industrious students, and excellent support infrastructure provide an academic environment, found only in the very best of the world universities, evident from the following: a. NUST is a member of: (1) International Association of Universities (IAU) (2) The Talloires Network (3) International Network for Quality Assurance Agencies in Higher Education (INQAAHE) (4) United Nations Academic Impact (UNAI) (5) Association of Management Development Institution in South Asia (AMDISA) (6) Asia-Pacific Quality Network (APQN) (7) Association of Quality Assurance Agencies of the Islamic World (QA- Islamic). (8) World Design Organization (WDO) b. NUST Rankings. NUST actively participates in international university rankings conducted by various esteemed organizations such as Quacquarelli Symonds (QS), Times Higher Education (THE), etc., securing a prominent position both globally and nationally. Over a brief period, the university has garnered global recognition and consistently elevated its rankings, a testament to the dedication of our faculty and staff in enhancing NUST's prestige year after year. (1) QS World Universities Ranking. In the latest",e positive social impact formulate curriculum programme suit wider crosssection population term education absorption new technology study nust nust symbolizes quality excellence spirited faculty industrious student excellent support infrastructure provide academic environment found best world university evident following nust member international association university iau talloires network international network quality assurance agency higher education inqaahe united nation academic impact unai association management development institution south asia amdisa asiapacific quality network apqn association quality assurance agency islamic world qa islamic world design organization wdo b nust ranking nust actively participates international university ranking conducted various esteemed organization quacquarelli symonds q time higher education etc securing prominent position globally nationally brief period university garnered global recognition consistently elevated ranking testament dedication faculty staff enhancing nusts prestige year year q world university ranking latest
ug_p7_8,ug,7,"QS World University Rankings 2024, NUST holds the 353rd position globally and ranks 2nd among Pakistani Universities. (2) QS Asian Ranking. NUST secures the 64th position in QS Asian University Rankings 2024. (3) QS Subjects Rankings. NUST emerges as a Comprehensive Multidisciplinary University in the QS World University Rankings released in 2024, achieving distinction in Broad Subject Areas and Subject Wise Rankings. (a) Broad Subject Areas. NUST excels in various multidisciplinary areas ranked by QS, including Engineering & Technology, NUST Undergraduate Student Handbook 3",q world university ranking nust hold position globally rank among pakistani university q asian ranking nust secures position q asian university ranking q subject ranking nust emerges comprehensive multidisciplinary university q world university ranking released achieving distinction broad subject area subject wise ranking broad subject area nust excels various multidisciplinary area ranked q including engineering technology nust undergraduate student handbook
ug_p8_9,ug,8,"Natural Sciences, Social Sciences & Management, Life Sciences and Medicine, and Arts and Humanities: i. Engineering & Technology. NUST maintains its 1st position in Engineering & Technology in Pakistan and has improved its global rank to 144. ii. Natural Sciences. NUST ranks 394 globally and 3rd among Pakistani Universities in Natural Sciences. iii. Social Sciences & Management. NUST ranks 400 globally and 2nd among Pakistani universities in this broad subject area. (b) Subject Areas. NUST holds a distinguished position worldwide and in Pakistan across various subjects: Ser Subject Area World National Ranking Ranking i. C omputer Science & 174 1 Information Systems ii. E lectrical & Electronics 151-200 1 Engineering iii. C ivil and Structural 151-200 1 Engineering iv. M echanical, Aeronautical & 201-250 1 Manufacturing Engineering v. C hemical Engineering 251-300 1 vi. M athematics 201-250 1 vii. M aterial Sciences 251-300 1 viii. C hemistry 301-350 2 ix. B usiness & Management 301-350 2 x. A ccounting & Finance 301-350 2 xi. E nvironmental Sciences 351-400 2 xii. M edicine 551-600 2 xiii. P hysics & Astronomy 301-350 3 xiv. E conomics & Econometrics 401-450 4 xv. B iological Sciences 551-600 5 8. Important Telephone Numbers: 4 NUST",natural science social science management life science medicine art humanity engineering technology nust maintains position engineering technology pakistan improved global rank ii natural science nust rank globally among pakistani university natural science iii social science management nust rank globally among pakistani university broad subject area b subject area nust hold distinguished position worldwide pakistan across various subject ser subject area world national ranking ranking c omputer science information system ii e lectrical electronics engineering iii c ivil structural engineering iv echanical aeronautical manufacturing engineering v c hemical engineering vi athematics vii aterial science viii c hemistry ix b usiness management x ccounting finance xi e nvironmental science xii edicine xiii p hysics astronomy xiv e conomics econometrics xv b iological science important telephone number nust
