id,question,category,precision,variation_precision
1,What is the minimum CGPA needed to graduate?,academics,1.0,1.0
2,How many times can a course be repeated?,academics,1.0,0.9333333333333332
3,What is the grading system?,academics,0.8,0.8000000000000002
4,What happens if a student fails a course?,academics,0.8,0.7333333333333334
5,What are the rules for academic probation?,academics,1.0,1.0
6,What is the minimum GPA requirement?,academics,1.0,1.0
7,What is the credit hour requirement for graduation?,academics,1.0,1.0
8,How to apply for a degree?,academics,1.0,0.9333333333333332
9,Can a student transfer to another department?,academics,0.6,0.5333333333333333
10,What are the rules for dropping a course?,academics,1.0,0.9333333333333332
11,What is the attendance policy?,attendance,1.0,0.9333333333333332
12,How much attendance is required to sit in exams?,attendance,0.8,0.7333333333333334
13,What happens if I have short attendance?,attendance,1.0,0.9333333333333332
14,Can I get attendance relaxation for medical reasons?,attendance,0.8,0.8000000000000002
15,How is attendance calculated for late admissions?,attendance,0.8,0.8000000000000002
16,What are the examination rules?,exams,1.0,1.0
17,What happens if a student is caught cheating in exams?,exams,0.4,0.4000000000000001
18,What are the rules for make-up exams?,exams,1.0,0.9333333333333332
19,How can I apply for re-checking of my paper?,exams,1.0,1.0
20,What is the policy for unfair means?,exams,0.6,0.6
21,What is the fee refund policy?,financial,0.2,0.20000000000000004
22,What is the scholarship policy?,financial,0.4,0.4000000000000001
23,When is the tuition fee due?,financial,0.8,0.8000000000000002
24,What are the hostel charges?,financial,0.8,0.8666666666666667
25,Are there any fines for late fee payment?,financial,1.0,1.0
26,What are the thesis requirements?,research,0.8,0.8000000000000002
27,How to select a research supervisor?,research,1.0,1.0
28,What is the procedure for thesis defense?,research,0.8,0.8000000000000002
29,What are the guidelines for the GEC committee?,research,1.0,0.9333333333333332
30,What happens if I fail my thesis defense?,research,1.0,0.9333333333333332
31,What is the semester registration process?,admin,1.0,1.0
32,How do I freeze my semester?,admin,1.0,0.9333333333333332
33,What is the procedure for withdrawal from a degree?,admin,1.0,1.0
34,How do I get my official transcript?,admin,0.4,0.4666666666666666
35,What is the process for readmission?,admin,0.0,0.0
36,What is the student code of conduct?,discipline,0.6,0.6
37,What are the hostel rules?,discipline,1.0,1.0
38,What happens in case of a disciplinary violation?,discipline,0.8,0.8000000000000002
39,Can a student be rusticated?,discipline,0.0,0.0
40,What is the policy regarding ragging?,discipline,0.8,0.7333333333333334
41,What is the minimum CGPA needed to graduate?,academics,1.0,1.0
42,How many times can a course be repeated?,academics,1.0,0.9333333333333332
43,What is the grading system?,academics,0.8,0.8000000000000002
44,What happens if a student fails a course?,academics,0.8,0.7333333333333334
45,What are the rules for academic probation?,academics,1.0,1.0
46,What is the minimum GPA requirement?,academics,1.0,1.0
47,What is the credit hour requirement for graduation?,academics,1.0,1.0
48,How to apply for a degree?,academics,1.0,0.9333333333333332
49,Can a student transfer to another department?,academics,0.6,0.5333333333333333
50,What are the rules for dropping a course?,academics,1.0,0.9333333333333332
51,I need to know what is the attendance policy?,attendance,1.0,1.0
52,Explain how much attendance is required to sit in exams?,attendance,0.8,0.7333333333333334
53,What is what happens if i have short attendance?,attendance,1.0,0.9333333333333332
54,Details on can i get attendance relaxation for medical reasons?,attendance,1.0,0.9333333333333332
55,Could you tell me how is attendance calculated for late admissions?,attendance,0.8,0.8000000000000002
56,I need to know what are the examination rules?,exams,1.0,1.0
57,Explain what happens if a student is caught cheating in exams?,exams,0.4,0.4000000000000001
58,What is what are the rules for make-up exams?,exams,1.0,0.9333333333333332
59,Details on how can i apply for re-checking of my paper?,exams,1.0,1.0
60,Could you tell me what is the policy for unfair means?,exams,0.6,0.6
61,I need to know what is the fee refund policy?,financial,0.4,0.4000000000000001
62,Explain what is the scholarship policy?,financial,0.4,0.4000000000000001
63,What is when is the tuition fee due?,financial,0.8,0.8000000000000002
64,Details on what are the hostel charges?,financial,1.0,1.0
65,Could you tell me are there any fines for late fee payment?,financial,1.0,1.0
66,I need to know what are the thesis requirements?,research,0.8,0.8666666666666667
67,Explain how to select a research supervisor?,research,1.0,1.0
68,What is what is the procedure for thesis defense?,research,0.8,0.8000000000000002
