query,method,avg_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms
What is the minimum GPA requirement?,tfidf,0.8745988210042318,0.02365542743508669,0.8459091186523438,0.9038448333740234
What is the minimum GPA requirement?,minhash,0.789642333984375,0.07286434805316001,0.7097721099853516,0.8859634399414062
What is the minimum GPA requirement?,simhash,2.9889742533365884,0.1797842964658723,2.8390884399414062,3.2417774200439453
What is the minimum GPA requirement?,hybrid,4.533688227335612,0.3444826619984633,4.256010055541992,5.019187927246094
What happens if a student fails a course?,tfidf,1.1220773061116536,0.0804561345659197,1.020193099975586,1.216888427734375
What happens if a student fails a course?,minhash,0.8270740509033203,0.08700307422610544,0.7512569427490234,0.9489059448242188
What happens if a student fails a course?,simhash,3.2021204630533853,0.14050203737856512,3.0469894409179688,3.3872127532958984
What happens if a student fails a course?,hybrid,4.359722137451172,0.09506914060030756,4.272937774658203,4.492044448852539
What is the attendance policy?,tfidf,0.8167425791422526,0.013668869809170286,0.7979869842529297,0.8301734924316406
What is the attendance policy?,minhash,0.6985664367675781,0.06341486033042038,0.6227493286132812,0.7779598236083984
What is the attendance policy?,simhash,3.079970677693685,0.032713678040798215,3.0488967895507812,3.1251907348632812
What is the attendance policy?,hybrid,4.629691441853841,0.12255153037956303,4.539012908935547,4.802942276000977
How many times can a course be repeated?,tfidf,1.0903676350911458,0.1331036831431864,0.9021759033203125,1.188039779663086
How many times can a course be repeated?,minhash,0.6647904713948568,0.07114370273230337,0.6110668182373047,0.7653236389160156
How many times can a course be repeated?,simhash,3.267208735148112,0.28621567581137286,2.862691879272461,3.4818649291992188
How many times can a course be repeated?,hybrid,4.122257232666016,0.06297260104347178,4.038810729980469,4.190921783447266
What is the fee refund policy?,tfidf,0.8060137430826823,0.03655319602990192,0.7627010345458984,0.8521080017089844
What is the fee refund policy?,minhash,0.7522900899251302,0.03618171593823691,0.720977783203125,0.8029937744140625
What is the fee refund policy?,simhash,3.0721823374430337,0.17656816316838392,2.946615219116211,3.3218860626220703
What is the fee refund policy?,hybrid,4.614035288492839,0.05739811409972952,4.561901092529297,4.6939849853515625
How to apply for a degree?,tfidf,0.8900960286458334,0.0847698665244836,0.7770061492919922,0.9810924530029297
How to apply for a degree?,minhash,1.212755839029948,0.13499662406842275,1.0919570922851562,1.4011859893798828
How to apply for a degree?,simhash,2.8499762217203775,0.08192638127309648,2.7408599853515625,2.9382705688476562
How to apply for a degree?,hybrid,4.8169294993082685,0.1542984349325394,4.599094390869141,4.936933517456055
What are the rules for academic probation?,tfidf,0.8253256479899088,0.02883868487669043,0.8001327514648438,0.8656978607177734
What are the rules for academic probation?,minhash,0.6760756174723307,0.01799424201521199,0.6589889526367188,0.7009506225585938
What are the rules for academic probation?,simhash,2.9699007670084634,0.12212902344353466,2.798795700073242,3.075838088989258
What are the rules for academic probation?,hybrid,4.336118698120117,0.19648246614333822,4.101276397705078,4.58216667175293
What is the credit hour requirement for graduation?,tfidf,0.8836587270100912,0.05992496040358283,0.7989406585693359,0.9279251098632812
What is the credit hour requirement for graduation?,minhash,0.682989756266276,0.08205256213531731,0.6210803985595703,0.7989406585693359
What is the credit hour requirement for graduation?,simhash,3.2433668772379556,0.07250573416069417,3.172159194946289,3.342866897583008
What is the credit hour requirement for graduation?,hybrid,4.169623057047526,0.09809687617454733,4.030942916870117,4.242181777954102
What are the examination rules?,tfidf,0.8065700531005859,0.042468410486246014,0.7627010345458984,0.8640289306640625
What are the examination rules?,minhash,0.671227773030599,0.03840899547969357,0.6308555603027344,0.7228851318359375
What are the examination rules?,simhash,2.9937426249186196,0.09099354385414468,2.875804901123047,3.0972957611083984
